50000;undefined;undefined
undefined;0.07904972491955345;0.000047742844829180495
undefined;0.1205488029618842;0.00015692557733579552
undefined;0.15243599955923753;0.00012193810497521325
undefined;0.1793445954782011;0.00015595358935636288
undefined;0.20215381009920547;0.00025974987945718805
undefined;0.2224776771504633;0.00023825613724656609
undefined;0.24038486286975588;0.00044742593930933587
undefined;0.256764308176949;0.0002668406543804651
undefined;0.27162972828627663;0.00026387813170091417
undefined;0.2851454622790261;0.00040907593646473406
undefined;0.2980835580714906;0.00045430833938492734
undefined;0.30932128628318123;0.0004123337719407306
undefined;0.32045252208068276;0.0007754899343850914
undefined;0.3306431342751042;0.0005561520799323143
undefined;0.34034451838573304;0.0007309257560090646
undefined;0.34873085280957705;0.0007087152608917194
undefined;0.3580403527579302;0.00025097337900087147
undefined;0.3656172376823891;0.00046253050307049065
undefined;0.37359379993818387;0.0005421126134027207
undefined;0.379570850193935;0.0006297495819869754
undefined;0.38671195704172423;0.0006952648418240858
undefined;0.39332895660702916;0.0006887550345303299
undefined;0.3996649052679154;0.0006503137661131
undefined;0.4046581448305987;0.0004892822107340722
undefined;0.41110031737630254;0.0007318095320102759
undefined;0.4157333274810524;0.0003900415618751426
undefined;0.4217917317714228;0.0008551942126855126
undefined;0.4258492552988685;0.000570322866721254
undefined;0.43044710210148385;0.0007164121021397764
undefined;0.43484402789265103;0.0009853432601974518
undefined;0.43926583994078355;0.0009067022536168697
undefined;0.4429033540354312;0.0007873046478164335
undefined;0.4477631718263416;0.00042185210443856236
undefined;0.4508696662413785;0.0010113718999095462
undefined;0.4539733195255221;0.0007276981004065751
undefined;0.4583846164592926;0.0008439094747657405
undefined;0.46173334625847573;0.0012928991589003958
undefined;0.46515150164054564;0.0005079474598030396
undefined;0.46863212292187895;0.0007997126099992452
undefined;0.4712246565088269;0.0011748609481876265
undefined;0.47401711554982934;0.0008298178184530445
undefined;0.47828360477595994;0.0009629201217824067
undefined;0.4796898873533502;0.00037985658993724015
undefined;0.4830266689899624;0.000785966466335947
undefined;0.4846943985852475;0.000863111599756038
undefined;0.4871246163483763;0.0015017125829734598
undefined;0.4906945662060275;0.0011853933960084525
undefined;0.49308795859846255;0.001207691904633796
undefined;0.4954552848363766;0.0007122987874159752
undefined;0.4972888757103592;0.0012353737054819145
undefined;0.49980524822613825;0.0007684575966563621
undefined;0.50164625566994;0.0006946923222530972
undefined;0.5043429961764619;0.001527365533685454
undefined;0.5063076503408291;0.0010354083272476268
undefined;0.5074602817402406;0.0011770496513870874
undefined;0.510611797480685;0.0013578195043730617
undefined;0.51238594732423;0.0013118625980436077
undefined;0.5150961679024546;0.0013617014488744633
undefined;0.5156721489185985;0.0009814453598007322
undefined;0.5177256610453665;0.0014472220786519436
undefined;0.5202591623091257;0.0009053906372883327
undefined;0.5221795538131031;0.0010899983459292377
undefined;0.5224223317441961;0.0011897014050159232
undefined;0.5244168381942849;0.002118630549250366
